model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,cluster
AIM/CGE 2.2,EN_NPi2020_300f,0.1834094119076388,0.7287862569119581,0.4476954838217887,0.5313989920418809,0.5834858929622565,2
AIM/CGE 2.2,EN_NPi2020_400f,0.1756732321219234,0.7479977560599694,0.445917398774669,0.5306993314497027,0.5698206150426169,2
AIM/CGE 2.2,EN_NPi2020_500f,0.1734103207213539,0.7576946982772913,0.4037209310581455,0.5242552336938071,0.564366182380952,2
AIM/CGE 2.2,EN_NPi2020_600,0.1603812661149788,0.106192460907275,0.44272181667674,0.5262831339225662,0.6200446417790588,1
AIM/CGE 2.2,EN_NPi2020_600f,0.1431118598562508,0.7645130599387775,0.3529653118230716,0.519332287944741,0.5621160127194766,2
GCAM 5.3,NGFS2_Divergent Net Zero Policies,0.0126322695479864,0.5098750032002134,0.4137966068829123,0.5205105226841384,0.5972757685787922,1
GCAM 5.3,NGFS2_Net-Zero 2050,0.0,0.4690054438952269,0.3057459103325721,0.5171061563738033,0.6762010884857399,1
IMAGE 3.2,SSP1_SPA1_19I_D,0.129064958188624,0.7741527485429736,0.2151720568894236,0.096058701669856,0.9699998069896376,3
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.1752442582242587,0.1295586338763147,0.4534100985086712,0.0834630412405478,0.7180627553753522,3
IMAGE 3.2,SSP1_SPA1_19I_LI,0.0854225279339561,0.7657044956606965,0.2130944454572696,0.0494608178745393,1.0,3
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.3139477956281497,0.7659323736546536,0.1675795396950817,0.0886610216865849,0.9618513900738264,3
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.3684859460098577,0.1240873074015381,0.3858736282019077,0.0948584881550129,0.7594966191766508,3
IMAGE 3.2,SSP1_SPA1_19I_RE,0.2526657872612467,0.7657224788230983,0.3834092567853317,0.1162704322084718,0.8739336405353498,3
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.3446322382272023,0.1268361528503649,0.680665223188828,0.1066092783305634,0.7113339269747277,3
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.2026416449903112,0.1838948040254962,0.0655999578648243,0.5000122309051847,0.6700011100184929,1
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.365118288814395,0.3417798962203018,0.374169956074492,0.4621429544845238,0.7020960414870304,1
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.4447126096890343,0.1814067671468298,0.4169201891740592,0.514128988223893,0.6685916015377066,1
IMAGE 3.2,SSP2_SPA2_19I_D,0.226124397362903,0.8369346642585345,0.0303972876078635,0.5211380798983993,0.9492973257368535,2
IMAGE 3.2,SSP2_SPA2_19I_LI,0.1617587055040094,0.3558891951335661,0.0076548696521559,0.4593619754518749,0.9320829257501102,3
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.4677718576594709,1.0,0.2986707211155908,0.5189254155186864,0.8495791665788687,2
IMAGE 3.2,SSP2_SPA2_19I_RE,0.4774054916926785,0.8371059293936418,0.3294437069588772,0.5154548990756801,0.8256107651507167,2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.1419512419224556,0.2367228279623885,0.3126622479539958,0.6111177466273846,0.638625009547924,1
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.142192879349018,0.2362890391406157,0.3319473706592021,0.6143185997491863,0.6250299956401827,1
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.108966586006488,0.2337101156974789,0.348608148143859,0.6415924001220894,0.6781872075933795,1
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.142565723221413,0.2311783864753535,0.2978577651353796,0.6295209090948274,0.6458834495279832,1
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.1399635134478201,0.2312431986504988,0.3044919759494695,0.6330875018591137,0.6323768245104698,1
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.1086389980268348,0.2349375252818794,0.3623066350318683,0.6452271799890958,0.6707094647532109,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.1556623467640695,0.2265122671977543,0.5126401043773317,0.6953586515381471,0.4410972187922707,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.1470964349134964,0.2226458234375649,0.4293689366247176,0.6931921675073744,0.4684855937233678,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.1387200197576413,0.2236430802384134,0.392746778669219,0.6905736424342541,0.4925419091290791,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.1699468434047933,0.2685195154774986,0.5783391691746655,0.6671066656160806,0.4143005111486123,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.1339499427413319,0.2243482509189972,0.3866954887321366,0.6902072693873413,0.5037249830671414,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.1553952177644401,0.2705808237562249,0.5811333504859909,0.684890845076387,0.4410114105427311,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.1271337919694863,0.2262412606207885,0.3686381112359859,0.6902293080688066,0.5183665154951257,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.1371219228412155,0.2712738077603015,0.5194482485030902,0.691890439656686,0.4898189322615847,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.1532273931636326,0.2685987925206065,0.3927815344101772,0.6688042157022418,0.4840790707969417,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.1116743125869374,0.2731780010776176,0.6006924945520316,0.7432575098450863,0.6180799127871439,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.177093812031598,0.2684319493473698,0.5067742197995977,0.7159527422541477,0.4728510964444121,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.167684209482606,0.268409535119247,0.5110423860057309,0.7060009298218031,0.4759260847044902,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.154149534143693,0.2686623085832061,0.5159567634342933,0.7010947944419003,0.4799555451736169,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.144664744711293,0.2682395837854844,0.5225342995852013,0.6944163022468928,0.482925245941346,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.1239547965790033,0.2309322409615367,0.3554147448181198,0.6927597803690846,0.5357300315493776,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.1494194978443448,0.2322901692945345,0.2720037682462582,0.6669159327184534,0.5174661133352384,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.0756316795509448,0.2332573639376841,0.3789467329245715,0.7160145650322756,0.6879982741495551,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.1698229736702415,0.2800827426014464,0.4222865627194124,0.7246527671742371,0.4871806269191645,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.1554246961473857,0.245588609896259,0.387271739795518,0.7183864116045868,0.5038333606023991,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.1461762631325848,0.2376405099163285,0.3576224632888541,0.7114109258657871,0.5162655812299652,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.1295276316282675,0.2330648760306242,0.3474258961944099,0.7011481197871844,0.5275693304903704,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.1175905839718292,0.2699839311757861,0.4006969650346318,0.691493446494936,0.526614515033322,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.1399315510253622,0.2684152745906311,0.3149181963004941,0.6656456085129522,0.5152907995840466,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.1154574593799027,0.2321579315174199,0.3345552580186027,0.6914063551028456,0.5548786667117104,1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.1440576277411697,0.2351326203908705,0.2549480183112816,0.6681599551219013,0.53530061978852,1
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.0860263234877715,0.2961508061769497,0.4179294242969242,0.6554217282706004,0.4470329082510749,1
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.0846313322577097,0.2782357808626461,0.4054379921658094,0.6639331485476594,0.4743315536374436,1
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,0.1625226667829677,0.9080566247472852,0.1281776906936663,0.7084209620472282,0.6304468161932145,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,0.1617451750490444,0.9080561062866916,0.1305417991755164,0.7077339495854669,0.6311312407938933,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,0.1311174228887114,0.8913249113786328,0.2529869404579395,0.796457166585209,0.6152136204908032,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,0.1400885817642042,0.8893896293831911,0.2847934232938343,0.8014130415223112,0.5962282562979251,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,0.1210838909318461,0.8969750923842125,0.2353937774949797,0.7936597037357764,0.6346366833813981,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,0.1812659710261918,0.8855699741939822,0.3356696770479929,0.8152937793652305,0.5301560581960193,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,0.1764895217638492,0.8843181890007635,0.331853704723571,0.8134512898805711,0.5357786474592185,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,0.1706577236428667,0.8850460862420851,0.3301500855725607,0.8126315130315519,0.540384793623028,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,0.1648347578388848,0.8854601229925221,0.3214969590262219,0.8116637129665185,0.5456129135356027,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,0.159959979977958,0.8867267991125429,0.3150916535646157,0.8100846579906283,0.5518060584199946,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,0.1633549261831547,0.907701997701342,0.1498051149998739,0.7142253669336733,0.6229072440038239,2
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.7451277769036662,0.8627995391611346,0.6396287453083085,0.8964684278319817,0.7533589084952246,0
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.8809694793767193,0.7621205371936156,0.7034400410012525,0.9164780796124544,0.8257640141344429,0
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.7452407922641855,0.2561054952620566,0.6908697842686798,0.9191979500105026,0.6386984833814812,0
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.844804270547383,0.7722820374485212,0.619424096369053,0.9475953839597924,0.6762677792225795,0
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.6827002039924563,0.2503399492707932,0.6540013458846496,0.8925527227015889,0.6354261685375031,0
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.7056139196125799,0.2170636121314478,0.5989169463304858,0.8725637337878803,0.7566392233060086,0
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.6619114524853861,0.1817346322342563,0.5998598326009371,0.8610298867998855,0.7302962751874887,0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.843144471236327,0.730933894866499,0.6434936284055743,0.8861453731594604,0.8430093872798519,0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.7906754170736557,0.7645172200796837,0.6980003302625775,0.9121364720619892,0.67125896994849,0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.798937675023054,0.7703925879495856,0.6480737826825679,0.8778854954026534,0.7629397190526945,0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.7674879811413997,0.7688478457211264,0.6402086999752173,0.8682503165719606,0.7117837651514926,0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.0,0.4376377249406143,0.8815779716474352,0.9940829250098432,0.6959590075406636,0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.7056139196125799,0.2170636121314478,0.5989169463304858,0.8725637337878803,0.7723411870818775,0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.6827002039924563,0.2503399492707932,0.6540013458846496,0.8925527227015889,0.6509191058541146,0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.6583084944628597,0.2485701235097578,0.5869306578909277,0.8568210386416242,0.7093569378970925,0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.6380993458495973,0.2511229176831249,0.5812396236729299,0.8463183327765657,0.6745501646922966,0
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.8795668396496463,0.4844151224995455,0.7104349793518621,0.918628547460331,0.8521174793132762,0
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.7715128311575095,0.4377838290941122,0.724454230289889,0.9283713033258476,0.6928210569584045,0
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.8162982637290711,0.4847588033973231,0.7171850730322685,0.9053243614960628,0.7796871674118107,0
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.7836164387686898,0.484749360768505,0.706544469433768,0.8969733217211765,0.731982044000928,0
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.157955238133554,0.4181778287844011,0.6913701244200064,0.2649482742025336,0.539040304799847,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.2161343626222662,0.5185310482516888,0.8695597067801749,0.3330483379603566,0.4268389390037203,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.6176344514038807,0.5388226241572075,0.7689546628271828,0.7974412718469677,0.5720686704210558,0
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.7671584247348106,0.6035946830338602,1.0,0.8843043354767675,0.3565899385764534,0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.9051025112139496,0.4467478198485122,0.8188845740814356,0.9831389140378796,0.7748810317907455,0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.8624772892016078,0.4555270680379558,0.8020221553120424,0.9629498630249712,0.7703917650912667,0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.8146342410337891,0.4570167174588265,0.7816396542465154,0.9365421600468958,0.7671629442617189,0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.6790414322886176,0.5283321651461967,0.6284440031510931,0.7386174400698116,0.7185337847543011,0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.6699743990417698,0.5268267388285492,0.6325626819573832,0.7404619071510714,0.7163348850493474,0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.7698547846139953,0.47760003290622,0.7638103659477194,0.9117680991003598,0.7591694795314249,0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.674262159524753,0.520668317695076,0.6362450374501968,0.784543801802829,0.6435408001511631,0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.6748167175420796,0.5216936090754178,0.6406905260499839,0.7841827978665001,0.6432256915433475,0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.7719328734223869,0.4773236009836861,0.771952329706394,0.9128336882778636,0.7590939692227686,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.9385770991668586,0.4626948216657823,0.8877820779989344,1.0,0.5463204441594882,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.8856906597765063,0.4685862003663476,0.8574267183393393,0.972055347671469,0.5507040895259355,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.7872079178769568,0.5190017136992097,0.9822011478744056,0.8786876847710511,0.5187664046560787,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.8391859788731343,0.4753266079445116,0.828928332529756,0.947505941844745,0.559336788718927,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.7104627225151184,0.5171562805846907,0.9227030837079446,0.8701793010556491,0.5258837907636597,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.7952496936552821,0.4807554085662244,0.8078635319708298,0.9210789079126552,0.5650583225354404,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.6691156459658465,0.516979839717906,0.8718989231334016,0.8658767460650312,0.5403624153292199,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.5956963423073725,0.5349587721574497,0.6993128202303464,0.7720938976103221,0.5067849489839424,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.751128329609811,0.4908546952995776,0.7886086699138345,0.9005299060907824,0.5753176445084088,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.6237586012288466,0.5253150534797222,0.6644828200399423,0.7794243472542127,0.5200369736851886,0
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,0.3733152925082542,0.5099924061443273,0.4976006919459694,0.6144349628422549,0.4859483233230833,1
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,0.3749591052739561,0.5276298142468463,0.4896179095080893,0.6251504945984951,0.5360347116884739,1
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.0871033270230636,0.3556796802555134,0.6464174302916627,0.5901115091846146,0.5141572003515527,1
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.2251652835774424,0.3192148232377336,0.7560730601314266,0.3130594197012346,0.50374773613291,1
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.6895919091222821,0.5203159949568992,0.8335571027762743,0.849166289109038,0.5345723969285753,0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.4319791931393898,0.5671681218372204,0.9677650435408044,0.848863821421129,0.4958338982144147,0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.342816171552484,0.6278202323633627,0.5493080106821436,0.6881234990692205,0.6156644037849667,2
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.4152920635760923,0.6044596143158866,0.5562730423389642,0.7269752100941699,0.6097234021144278,2
WITCH 5.0,EN_INDCi2030_500f,0.0844436251875544,0.0144393522289154,0.370168543545622,0.5603690307239934,0.6744003755426365,1
WITCH 5.0,EN_NPi2020_400f,0.0661882561260642,0.0004371819842512,0.3659495337228337,0.5633372695168185,0.4918206717320696,1
WITCH 5.0,EN_NPi2020_450,0.0476517631567016,0.0317054851435257,0.406659892473081,0.5496133490316323,0.4578471627449229,1
WITCH 5.0,EN_NPi2020_450f,0.0672418450155285,0.0002434216630308,0.3615261716738855,0.5648035989029524,0.5016067536721106,1
WITCH 5.0,EN_NPi2020_500,0.0674914097977713,0.0408650911078378,0.3985858471099999,0.556863215240405,0.4901487238339499,1
WITCH 5.0,EN_NPi2020_500f,0.0714221746979025,0.0,0.3576547118749071,0.5667570225818641,0.5121221077626968,1
