model,,AIM/CGE 2.2,IMAGE 3.2,IMAGE 3.2,IMAGE 3.2,IMAGE 3.2,REMIND-MAgPIE 1.7-3.0,REMIND-MAgPIE 1.7-3.0,REMIND-MAgPIE 1.7-3.0,REMIND-MAgPIE 2.1-4.2,REMIND-MAgPIE 2.1-4.2,REMIND-MAgPIE 2.1-4.2,REMIND-MAgPIE 2.1-4.3,WITCH 5.0,WITCH 5.0,WITCH 5.0
scenario,,EN_NPi2020_300f,SSP1_SPA1_19I_D_LB,SSP1_SPA1_19I_LIRE_LB,SSP1_SPA1_19I_RE_LB,SSP2_SPA2_19I_LI,CD-LINKS_NPi2020_400,PEP_1p5C_full_eff,PEP_1p5C_red_eff,CEMICS_SSP1-1p5C-fullCDR,SusDev_SDP-PkBudg1000,SusDev_SSP1-PkBudg900,DeepElec_SSP2_def_Budg900,EN_NPi2020_400f,EN_NPi2020_450f,EN_NPi2020_500f
model,scenario,,,,,,,,,,,,,,,
AIM/CGE 2.2,EN_NPi2020_300f,0.0,1.5759430115014552,1.5457214577197664,1.5624361110313194,1.1538615016819829,1.4584167911279637,1.377101938020325,1.7447015665849108,0.8754806711876971,0.7051305138655793,0.9382464990335491,0.770978061847715,1.2764065222194882,1.2684943724296303,1.2582980506392751
IMAGE 3.2,SSP1_SPA1_19I_D_LB,1.5759430115014552,0.0,0.32718782535413016,0.30328408600157314,1.363401240688581,2.7548172255975834,2.6448940961837892,2.817919600413559,0.7444046329482934,1.4804141303570593,0.8221843531530906,1.99142700760822,1.5562100541563373,1.5487048179112377,1.539070519365066
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,1.5457214577197664,0.32718782535413016,0.0,0.4382305895728058,1.3619949072210529,2.6962833170159524,2.6010659461535526,2.7497102454439144,0.8062054989847391,1.5094209610175255,0.888236363396855,1.9801136839645008,1.465442401134496,1.4592240032827375,1.4510144805375713
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,1.5624361110313194,0.30328408600157314,0.4382305895728058,0.0,1.468256287832482,2.65815735944645,2.54929691821031,2.6835190198126377,0.7164106982489299,1.4211529722689118,0.714986426702599,1.9167293374267471,1.5545480188363858,1.54828651753125,1.5398689850614464
IMAGE 3.2,SSP2_SPA2_19I_LI,1.1538615016819829,1.363401240688581,1.3619949072210529,1.468256287832482,0.0,1.9582433460982698,1.8370936389051982,2.194987456049783,1.120160056279098,1.166688016630471,1.1954725449998511,1.298581396370818,1.5202838687060591,1.4985121458502173,1.4696534260981702
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,1.4584167911279637,2.7548172255975834,2.6962833170159524,2.65815735944645,1.9582433460982698,0.0,0.18115569854585867,0.645837236749552,2.1235462651851336,1.490876760797261,2.0345324696113747,0.8336074480729997,2.0365356704584574,2.0261168524511155,2.011222738601556
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,1.377101938020325,2.6448940961837892,2.6010659461535526,2.54929691821031,1.8370936389051982,0.18115569854585867,0.0,0.7193017447519237,2.0150688217657087,1.3950114600791401,1.9269351042694465,0.7139346301390066,2.0064762969218206,1.994692738471862,1.9780154307622109
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.7447015665849108,2.817919600413559,2.7497102454439144,2.6835190198126377,2.194987456049783,0.645837236749552,0.7193017447519237,0.0,2.255486843429961,1.5537853256812992,2.096809433969628,1.0974247469252496,1.9347640250707598,1.9266751992282867,1.9145239385429589
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.8754806711876971,0.7444046329482934,0.8062054989847391,0.7164106982489299,1.120160056279098,2.1235462651851336,2.0150688217657087,2.255486843429961,0.0,0.876594206900366,0.282923598149632,1.3415100861762908,1.2735735288043908,1.265792206227722,1.2557792685558484
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.7051305138655793,1.4804141303570593,1.5094209610175255,1.4211529722689118,1.166688016630471,1.490876760797261,1.3950114600791401,1.5537853256812992,0.876594206900366,0.0,0.7420970369408605,0.7102238287685239,0.9535374713128054,0.9409001004080174,0.9244442790146782
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.9382464990335491,0.8221843531530906,0.888236363396855,0.714986426702599,1.1954725449998511,2.0345324696113747,1.9269351042694465,2.096809433969628,0.282923598149632,0.7420970369408605,0.0,1.2587556980554464,1.1727248604016263,1.164709569494283,1.1541142777402553
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.770978061847715,1.99142700760822,1.9801136839645008,1.9167293374267471,1.298581396370818,0.8336074480729997,0.7139346301390066,1.0974247469252496,1.3415100861762908,0.7102238287685239,1.2587556980554464,0.0,1.4657483227836714,1.4524410409803399,1.4342018133999246
WITCH 5.0,EN_NPi2020_400f,1.2764065222194882,1.5562100541563373,1.465442401134496,1.5545480188363858,1.5202838687060591,2.0365356704584574,2.0064762969218206,1.9347640250707598,1.2735735288043908,0.9535374713128054,1.1727248604016263,1.4657483227836714,0.0,0.025669837666584514,0.05999004088116907
WITCH 5.0,EN_NPi2020_450f,1.2684943724296303,1.5487048179112377,1.4592240032827375,1.54828651753125,1.4985121458502173,2.0261168524511155,1.994692738471862,1.9266751992282867,1.265792206227722,0.9409001004080174,1.164709569494283,1.4524410409803399,0.025669837666584514,0.0,0.034378397741709935
WITCH 5.0,EN_NPi2020_500f,1.2582980506392751,1.539070519365066,1.4510144805375713,1.5398689850614464,1.4696534260981702,2.011222738601556,1.9780154307622109,1.9145239385429589,1.2557792685558484,0.9244442790146782,1.1541142777402553,1.4342018133999246,0.05999004088116907,0.034378397741709935,0.0
