model,scenario,between_region_gini,carbon_budget_fairness,fairness_score
IMAGE 3.2,SSP1_SPA1_19I_D,1.0,0.823475800474165,1.823475800474165
IMAGE 3.2,SSP1_SPA1_19I_D_LB,1.0,0.560022035344465,1.5600220353444652
IMAGE 3.2,SSP1_SPA1_19I_LI,1.0,0.719059536951311,1.719059536951311
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.8392765363481994,0.7857110193699925,1.6249875557181919
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.8392765363481994,0.5307481877887039,1.3700247241369032
IMAGE 3.2,SSP1_SPA1_19I_RE,1.0,0.7955786839434341,1.7955786839434342
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,1.0,0.594806891964619,1.594806891964619
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.8392765363481994,0.6262316272344088,1.4655081635826082
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.8392765363481994,0.5191189320691806,1.35839546841738
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.8392765363481994,0.6705372091929269,1.5098137455411265
IMAGE 3.2,SSP2_SPA2_19I_D,0.8392765363481994,0.7766760147686306,1.61595255111683
IMAGE 3.2,SSP2_SPA2_19I_LI,0.8392765363481994,0.7749614626499678,1.6142379989981672
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.8392765363481994,0.7186221548187387,1.5578986911669381
IMAGE 3.2,SSP2_SPA2_19I_RE,0.8392765363481994,0.7138797729148593,1.5531563092630587
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.46752059674324925,0.9494769743056868,1.416997571048936
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.47007871751509944,0.8677181566349759,1.3377968741500754
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.11353183972776922,1.0,1.1135318397277691
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.4584259244023659,0.9494769743056868,1.4079028987080526
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.459912764506369,0.8677181566349759,1.3276309211413448
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.1128254182335734,0.9025262938817495,1.015351712115323
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.10710105336849911,0.44009739850075413,0.5471984518692532
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.10389012914508708,0.548539694015111,0.6524298231601982
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.10384188010845717,0.6085853206961903,0.7124272008046475
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.10494718109506761,0.1720850373930693,0.2770322184881369
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.10413126764228063,0.6451013880947853,0.749232655737066
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.10078856025066471,0.26912467162861453,0.36991323187927927
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.10318783156449607,0.6739003190086105,0.7770881505731065
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.10103842257271577,0.4243054122181852,0.525343834790901
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.44658110072654544,0.48114607363985673,0.9277271743664022
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.1010498944651953,0.5401336317810241,0.6411835262462194
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.09949203203515687,0.30324565111821766,0.40273768315337455
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.10060954411402066,0.3422273745713206,0.44283691868534125
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.1008781827422645,0.36284884499727343,0.46372702773953794
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.10092600420812263,0.3652003069966032,0.46612631120472586
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.10309092576797828,0.7322557144028353,0.8353466401708136
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.449907582755577,0.6884394389288551,1.138347021684432
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.15686090720838713,0.991253472030686,1.1481143792390731
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.09979048214339217,0.4055288189956245,0.5053193011390167
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.10070093938164468,0.5447031207827779,0.6454040601644226
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.10138531842357232,0.630495344080158,0.7318806625037303
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.1020730193382709,0.6548505646225091,0.75692358396078
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.10146480211537547,0.5814000813479232,0.6828648834632987
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.44705804967335466,0.5819082559369717,1.0289663056103264
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.10297509783521859,0.7835336938973707,0.8865087917325893
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.449609530544281,0.7580283068627813,1.2076378374070624
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.4523821622120654,0.39927144669820097,0.8516536089102664
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.4430023003010033,0.3200349956515995,0.7630372959526028
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.6141780217515138,0.5515192427421584,1.165697264493672
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.6571104901355329,0.5497330079020427,1.2068434980375757
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.6073774224663865,0.5007451320397157,1.1081225545061022
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.6364237785263265,0.3675836766106434,1.00400745513697
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.6080436860012671,0.5057894354337024,1.1138331214349695
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.6161176584949979,0.5108944374917218,1.1270120959867196
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.6273021516767634,0.4605073106012406,1.087809462278004
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.6648221358558732,0.5373475225009946,1.2021696583568677
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.6364496396334537,0.3656678578715654,1.002117497505019
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.6564787681618095,0.5022002856656219,1.1586790538274314
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.6417229211248608,0.46328841113574754,1.1050113322606083
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.7600071392211758,0.019664786444052663,0.7796719256652285
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.6161176584949979,0.5341834757529224,1.1503011342479201
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.6080436860012671,0.5288625817829735,1.1369062677842408
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.6218610766785654,0.5010269533664932,1.1228880300450585
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.61028115038207,0.46062502077800926,1.0709061711600794
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.7103418614633626,0.538374868796522,1.2487167302598845
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.647435714769766,0.36807299681190064,1.0155087115816666
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.6909489406952417,0.4960766343439938,1.1870255750392356
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.6695954796883348,0.4580297560773035,1.1276252357656382
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.3979790129147918,0.23845068924259655,0.6364297021573884
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.413783637948833,0.16007779857672227,0.5738614365255552
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.46588818554262657,0.3275813822633518,0.7934695678059784
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.5035617673778079,0.19547673970924306,0.699038507087051
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.469709087801235,0.4622382312275968,0.9319473190288318
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.46721082506176903,0.4622382312275968,0.9294490562893658
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.46527638336234944,0.4622382312275968,0.9275146145899462
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.8164542986418157,0.4417431444522527,1.2581974430940686
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.8149576389466309,0.33315982368380787,1.1481174626304387
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.4636273987357706,0.4622382312275968,0.9258656299633674
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.7797760919199518,0.4417431444522527,1.2215192363722045
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.7783095638270031,0.33315982368380787,1.111469387510811
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.46272753779557463,0.35517068542669333,0.817898223222268
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.46808816116398044,0.343405165944145,0.8114933271081255
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.46625332360854077,0.3546003055847738,0.8208536291933146
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.4819654119301965,0.03322106264597146,0.515186474576168
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.464589144063659,0.3707640159220574,0.8353531599857164
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.4738423516142433,0.2216752222749597,0.695517573889203
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.4633676868683975,0.3819752477854467,0.8453429346538442
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.46965134022070915,0.32881836242168505,0.7984697026423941
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.785366436293881,0.2927102678427471,1.0780767041366282
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.4614344556824123,0.403979169607047,0.8654136252894593
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.7797725517987613,0.38050378056446493,1.1602763323632261
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,0.8046800016861001,0.08808065118666926,0.8927606528727694
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,0.7958811706733582,0.10801832055833593,0.9038994912316941
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.3730021770456751,0.11270159131318198,0.4857037683588571
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.3926636907167101,0.15810709836245845,0.5507707890791685
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.4634000000261705,0.22707609082251742,0.6904760908486879
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.43811364219430965,0.048413451400740215,0.48652709359504986
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.42564394322578314,0.287903008258952,0.7135469514847351
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.4371887216162454,0.1301344791197785,0.5673232007360238
WITCH 5.0,EN_INDCi2030_500f,0.027538917321966505,0.8908402839681658,0.9183792012901324
WITCH 5.0,EN_NPi2020_400f,0.009669861669646063,0.16826607223894077,0.17793593390858684
WITCH 5.0,EN_NPi2020_450,0.02993933992323946,0.0,0.02993933992323946
WITCH 5.0,EN_NPi2020_450f,0.004612173612097309,0.19765446039716594,0.20226663400926326
WITCH 5.0,EN_NPi2020_500,0.03251500878429652,0.07068477174467487,0.10319978052897139
WITCH 5.0,EN_NPi2020_500f,0.0,0.2228924019423798,0.2228924019423798
