model,scenario,final_energy_demand
AIM/CGE 2.2,EN_NPi2020_300f,35657.1725
AIM/CGE 2.2,EN_NPi2020_400f,35952.80729999999
AIM/CGE 2.2,EN_NPi2020_500f,36166.7833
AIM/CGE 2.2,EN_NPi2020_600,36069.74050000001
AIM/CGE 2.2,EN_NPi2020_600f,36382.1894
GCAM 5.3,NGFS2_Divergent Net Zero Policies,32233.816261699998
GCAM 5.3,NGFS2_Net-Zero 2050,33503.50389470001
IMAGE 3.2,SSP1_SPA1_19I_D,30007.3833125
IMAGE 3.2,SSP1_SPA1_19I_D_LB,28151.51271875
IMAGE 3.2,SSP1_SPA1_19I_LI,27390.6911875
IMAGE 3.2,SSP1_SPA1_19I_LIRE,30805.41875
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,29308.771781249994
IMAGE 3.2,SSP1_SPA1_19I_RE,30360.54446875
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,28487.826812499996
IMAGE 3.2,SSP2_SPA1_19I_D_LB,32287.3534375
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,29342.761875
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,32312.487
IMAGE 3.2,SSP2_SPA2_19I_D,33705.920874999996
IMAGE 3.2,SSP2_SPA2_19I_LI,30614.867812500004
IMAGE 3.2,SSP2_SPA2_19I_LIRE,33654.0393125
IMAGE 3.2,SSP2_SPA2_19I_RE,33209.88453125
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,37541.066233877966
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,37461.20428663967
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,39693.53447265535
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,39082.43002693543
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,39070.00456078484
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,39735.52340064482
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,38506.22475549315
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,39364.52906035276
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,40302.00193530445
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,39809.72668540662
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,40717.939009208596
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,40550.54430177309
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,41106.92481083233
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,41505.343954305055
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,40512.71113532593
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,40574.35978632429
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,42156.115728258796
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,41989.31676281192
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,41809.77908376567
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,41684.91699577025
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,41659.83001798262
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,40643.54853273028
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,37919.614252263316
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,42746.17347330304
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,42650.976461702696
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,42385.365828271795
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,42024.37345871416
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,42226.2263819129
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,41178.61453753234
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,42265.87186948851
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,41184.13585925138
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,38947.15586955
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,40160.65482465001
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,48152.8389427783
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,48155.19201884908
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,47621.759151917584
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,47527.42107411805
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,47754.14230726734
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,47255.63267756693
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,47271.69600785635
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,47272.48572406346
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,47277.09709751422
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,47339.666134298815
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,48131.00244953148
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,50255.76615000001
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,48251.19735
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,50392.068999999996
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,48787.50845000001
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,49531.539000000004
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,49467.58915
REMIND-MAgPIE 1.7-3.0,CO_Bridge,48279.62990000001
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,47353.46565
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,47671.984899999996
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,46686.564600000005
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,46242.36395
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,43717.8389
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,49467.58915
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,49531.539000000004
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,48646.622950000004
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,48031.943100000004
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,46036.5325
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,46863.377850000004
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,45440.2909
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,45144.746699999996
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,30615.853049999998
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,29636.1448
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,41684.626899999996
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,38277.570550000004
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,45300.04435000001
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,44898.67985
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,44311.31975
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,37207.1087
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,37240.264749999995
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,43773.63835000001
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,39240.483349999995
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,39212.39705
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,43757.00115
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,44641.580350000004
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,44014.10195
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,40354.8403
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,43573.008449999994
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,40533.9264
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,43000.09734999999
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,40885.21935000001
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,37967.6556
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,42693.86215
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,38517.8076
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,28537.762600000002
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,30372.708149999995
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,27668.774599999997
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,31112.962450000003
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,40928.50414999999
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,33881.20795
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,36591.8122
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,35445.899900000004
WITCH 5.0,EN_INDCi2030_500f,34080.416694030144
WITCH 5.0,EN_NPi2020_400f,33962.55254498377
WITCH 5.0,EN_NPi2020_450,33227.00058983744
WITCH 5.0,EN_NPi2020_450f,34286.14481645569
WITCH 5.0,EN_NPi2020_500,33990.85652704666
WITCH 5.0,EN_NPi2020_500f,34614.65540815449
