scen,period,gini_world_mig,gini_world_nomig,reldif
SSP1,2015,0.513717441,0.513717441,0
SSP1,2020,0.49058146,0.498371132,-0.015630264
SSP1,2025,0.467085201,0.474394192,-0.015406999
SSP1,2030,0.442840036,0.449835458,-0.015551069
SSP1,2035,0.4178193,0.424776681,-0.016378914
SSP1,2040,0.392177655,0.399130966,-0.017421127
SSP1,2045,0.366399241,0.373121076,-0.018015158
SSP1,2050,0.339715878,0.346150516,-0.018589133
SSP1,2055,0.312396874,0.318663067,-0.019664008
SSP1,2060,0.285934662,0.291791236,-0.020071112
SSP1,2065,0.260802136,0.266345391,-0.020812281
SSP1,2070,0.237373813,0.241770189,-0.01818411
SSP1,2075,0.215954457,0.219095547,-0.014336625
SSP1,2080,0.197527963,0.199553426,-0.010149978
SSP1,2085,0.1824693,0.183995646,-0.008295554
SSP1,2090,0.172068617,0.173078049,-0.005832233
SSP1,2095,0.166985501,0.167769343,-0.004672141
SSP1,2100,0.166715458,0.168277296,-0.009281332
SSP2,2015,0.512443521,0.512443521,0
SSP2,2020,0.490257425,0.49802729,-0.015601285
SSP2,2025,0.473144887,0.480543807,-0.015396971
SSP2,2030,0.459134834,0.466312161,-0.01539168
SSP2,2035,0.446627391,0.453753766,-0.01570538
SSP2,2040,0.433586527,0.440653909,-0.016038396
SSP2,2045,0.419316803,0.426364526,-0.016529807
SSP2,2050,0.403524713,0.410546027,-0.017102379
SSP2,2055,0.38641021,0.393327023,-0.017585401
SSP2,2060,0.368745398,0.375511315,-0.018017878
SSP2,2065,0.350207428,0.356808443,-0.018500166
SSP2,2070,0.330441097,0.335997576,-0.016537259
SSP2,2075,0.309367572,0.314486697,-0.016277716
SSP2,2080,0.287600111,0.292452475,-0.016591977
SSP2,2085,0.265418662,0.270264783,-0.017931011
SSP2,2090,0.243249292,0.248354516,-0.020556194
SSP2,2095,0.221417153,0.227184758,-0.025387289
SSP2,2100,0.200170557,0.207003488,-0.033008775
SSP3,2015,0.510256997,0.510256997,0
SSP3,2020,0.48691215,0.494379212,-0.015103916
SSP3,2025,0.473713339,0.480874597,-0.014892153
SSP3,2030,0.467813426,0.474467428,-0.014024148
SSP3,2035,0.466129025,0.472471366,-0.013423757
SSP3,2040,0.464940306,0.470907776,-0.012672268
SSP3,2045,0.4631542,0.468743644,-0.011924311
SSP3,2050,0.459601183,0.464762692,-0.011105689
SSP3,2055,0.454400465,0.459062189,-0.010154885
SSP3,2060,0.448071641,0.45213064,-0.008977489
SSP3,2065,0.440261791,0.443735159,-0.00782757
SSP3,2070,0.430216301,0.433045827,-0.00653401
SSP3,2075,0.417916873,0.420108798,-0.005217519
SSP3,2080,0.40422895,0.405703617,-0.003634838
SSP3,2085,0.389108683,0.389852014,-0.0019067
SSP3,2090,0.373353861,0.373678331,-0.000868314
SSP3,2095,0.357170846,0.357257075,-0.000241364
SSP3,2100,0.340673735,0.340575468,0.000288533
SSP4,2015,0.512229517,0.512229517,0
SSP4,2020,0.491747167,0.499531783,-0.015583825
SSP4,2025,0.482089351,0.489524565,-0.015188642
SSP4,2030,0.47945723,0.486797409,-0.015078508
SSP4,2035,0.481869933,0.489381923,-0.015349956
SSP4,2040,0.485086883,0.493065884,-0.016182424
SSP4,2045,0.488853464,0.497396814,-0.017176126
SSP4,2050,0.492810383,0.502021674,-0.018348393
SSP4,2055,0.49724718,0.507136501,-0.019500314
SSP4,2060,0.502504911,0.51315781,-0.020759498
SSP4,2065,0.508086567,0.518880611,-0.020802558
SSP4,2070,0.5132919,0.524766665,-0.021866413
SSP4,2075,0.517823432,0.530010258,-0.022993567
SSP4,2080,0.52213149,0.535143485,-0.024314965
SSP4,2085,0.526025825,0.539880193,-0.025661931
SSP4,2090,0.529417098,0.54428292,-0.027312674
SSP4,2095,0.53225513,0.548474311,-0.029571451
SSP4,2100,0.534282236,0.551951839,-0.032012942
SSP5,2015,0.51491276,0.51491276,0
SSP5,2020,0.49238208,0.500478114,-0.016176599
SSP5,2025,0.466780444,0.474323326,-0.015902406
SSP5,2030,0.438127809,0.445643284,-0.016864328
SSP5,2035,0.407494606,0.415380894,-0.018985678
SSP5,2040,0.377166685,0.385423838,-0.021423566
SSP5,2045,0.347249389,0.35564458,-0.023605564
SSP5,2050,0.316967327,0.325386832,-0.02587537
SSP5,2055,0.286937485,0.294355469,-0.025200769
SSP5,2060,0.258700684,0.265487762,-0.025564561
SSP5,2065,0.234227437,0.239245407,-0.020974155
SSP5,2070,0.214126794,0.2188546,-0.021602501
SSP5,2075,0.200200954,0.204769914,-0.022312656
SSP5,2080,0.192396843,0.197467457,-0.025678226
SSP5,2085,0.191858063,0.198325764,-0.032611499
SSP5,2090,0.197123455,0.206633067,-0.046021736
SSP5,2095,0.207064881,0.219999079,-0.058792054
SSP5,2100,0.221919804,0.236979536,-0.06354866